,rally,receiving_shot,winning_shot,combined
2932,6+f27h2b1*,h2,b1,h2b1
2933,4+f38z3m2o2*,m2,o2,m2o2
2934,6r28f+3s2v1*,s2,v1,s2v1
2935,6s28f1l2o+3*,f1,l2,f1l2
2936,6+f28z3b1v^3*,z3,b1,z3b1
2937,6+b28z2f3*,z2,f3,z2f3
2938,6+b37i3b1v1*,b1,v1,b1v1
2939,6+b27v3b2v1*,b2,v1,b2v1
2940,5b28b3s3b3s3b3s3b3b3b3f1f1f1f3*,f1,f3,f1f3
2941,4+s17f-3m2o2*,m2,o2,m2o2
2942,6+f27z2f2z3b3*,z3,b3,z3b3
2943,4+f27h2b1*,h2,b1,h2b1
2944,4+f37z3b3z^3*,z3,b3,z3b3
2945,6f29f3b3b3s3b3b3b3b3b3b1f1f1f2s3b3s3b3b3*,b3,b3,b3b3
2946,4+b27h2f1*,h2,f1,h2f1
2947,5+b27z1f3*,z1,f3,z1f3
2948,4+f38z3b2v1*,b2,v1,b2v1
2949,6+b28v3b3*,v3,b3,v3b3
2950,4+f38z3s2h1f1v2*,f1,v2,f1v2
2951,6+f38z3s2v1*,s2,v1,s2v1
2952,4+b37y3s3*,y3,s3,y3s3
2953,6+s27v3s2v2*,s2,v2,s2v2
2954,4+f37i2b2v1l3p3s+3b2v1*,b2,v1,b2v1
2955,4+b38z1f1*,z1,f1,z1f1
2956,4+f27z3b1*,z3,b1,z3b1
2957,6+s28z1l2o2b2f3*,b2,f3,b2f3
2958,6+s27v3b3*,v3,b3,v3b3
2959,6+f28z3m3o1*,m3,o1,m3o1
2960,6s27b+2f2z3*,f2,z3,f2z3
2961,4+f28z3b3z2*,b3,z2,b3z2
2962,4+b28z3b1*,z3,b1,z3b1
2963,6+f28v2b3*,v2,b3,v2b3
2964,4+f18v3m3o1*,m3,o1,m3o1
2965,6+b27v3b1v1*,b1,v1,b1v1
2966,4+s28v1f3z3*,f3,z3,f3z3
2967,4+f38z2b1*,z2,b1,z2b1
2968,6+s27z3m2o2*,m2,o2,m2o2
2969,4+f27z3b1*,z3,b1,z3b1
2970,6+s28z1l2o2b2f3*,b2,f3,b2f3
2971,6+s27v3b3*,v3,b3,v3b3
2972,6+f28z3m3o1*,m3,o1,m3o1
2973,6s27b+2f2z3*,f2,z3,f2z3
2974,4+f28z3b3z2*,b3,z2,b3z2
2975,4+b28z3b1*,z3,b1,z3b1
2976,6+f28v2b3*,v2,b3,v2b3
2977,4+f18v3m3o1*,m3,o1,m3o1
2978,6+b27v3b1v1*,b1,v1,b1v1
2979,4+s28v1f3z3*,f3,z3,f3z3
2980,4+f38z2b1*,z2,b1,z2b1
2981,6+s27z3m2o2*,m2,o2,m2o2
2982,6+r27v3m2o1*,m2,o1,m2o1
2983,6+s27z3b2v1*,b2,v1,b2v1
2984,4+s38v3b3*,v3,b3,v3b3
2985,4+b28v1f1*,v1,f1,v1f1
2986,c5+r27i3b1*,i3,b1,i3b1
2987,6+f27h3b3*,h3,b3,h3b3
2988,6+r27i3m3*,i3,m3,i3m3
2989,4+f38i3b1v1*,b1,v1,b1v1
2990,4+f17v2s2i1*,s2,i1,s2i1
2991,4+f27z3m2o1*,m2,o1,m2o1
2992,6+s37z^3s2v1*,s2,v1,s2v1
2993,6f38f3s3b3s3b3s3b1*,s3,b1,s3b1
2994,6+f27v3m2*,v3,m2,v3m2
2995,4+b37z2b3z1m2o3*,m2,o3,m2o3
2996,4+b37z3s3*,z3,s3,z3s3
2997,4+f37i3b1*,i3,b1,i3b1
2998,5+f27z1l1*,z1,l1,z1l1
2999,4r39b3s3b1f2f+3*,b1,f2,b1f2
3000,6+f18v3b1*,v3,b1,v3b1
3001,6+b28z1f1*,z1,f1,z1f1
3002,4f29h=2f3b2f1f;1f+3*,b2,f1,b2f1
3003,5+f37z3m2o1*,m2,o1,m2o1
3004,4s28f+1f1v3m+2f=2z3b;3z^1*,v3,z3,v3z3
3005,4s27b3b3b3s3b3s2b3s2f1r2f+1*,f1,r2,f1r2
3006,6r37b3s3b3s3b3s3b3s3b3s3b3s3b3s2f+1f3z3*,f3,z3,f3z3
3007,6+b37s-3b1v1*,b1,v1,b1v1
3008,4s39f2s+1l2o3*,l2,o3,l2o3
3009,6s29b1f1f2b1*,f2,b1,f2b1
3010,6+f27v3b3*,v3,b3,v3b3
3011,6+s27f3f3z2s1*,z2,s1,z2s1
3012,c6+s27v2f3*,v2,f3,v2f3
3013,4+s27v2f3*,v2,f3,v2f3
3014,6+f37i1f3*,i1,f3,i1f3
3015,4+s27z3b1z3z3*,z3,z3,z3z3
3016,5+f18v3f3*,v3,f3,v3f3
3017,6+b38z3f1*,z3,f1,z3f1
3018,6+f17s3b1*,s3,b1,s3b1
3019,4+s27f3b1z1*,b1,z1,b1z1
3020,6+b27v3b1*,v3,b1,v3b1
3021,6+b27v3f1v1*,f1,v1,f1v1
3022,6+f17v1s3z3*,s3,z3,s3z3
3023,6+s27h1f1z3*,f1,z3,f1z3
3024,6+f27v3b2v2*,b2,v2,b2v2
3025,4+s37i3f3*,i3,f3,i3f3
3026,4+s37z3f1*,z3,f1,z3f1
3027,4+s17h3f3*,h3,f3,h3f3
3028,6+s27v3m1o3*,m1,o3,m1o3
3029,4+s27f1b3z1b3z3*,b3,z3,b3z3
3030,6+s17h2f1*,h2,f1,h2f1
3031,6+s27z1b3z3*,b3,z3,b3z3
3032,6+s27h3b3v^1*,h3,b3,h3b3
3033,4+f27v1b3z3*,b3,z3,b3z3
3034,4+s17s3m1o1f3v3*,f3,v3,f3v3
3035,4+s27f3b1z1*,b1,z1,b1z1
3036,6+s27v1m2o3*,m2,o3,m2o3
3037,4+s27f1f3*,f1,f3,f1f3
3038,c4+s37h3b3*,h3,b3,h3b3
3039,6+f27f1s1v1*,s1,v1,s1v1
3040,6+s17h2r+1v3z3*,v3,z3,v3z3
3041,c6+s27f3b3*,f3,b3,f3b3
3042,4+s27v1f2z2*,f2,z2,f2z2
3043,c6+s27f3b3*,f3,b3,f3b3
3044,4+s17i1f3*,i1,f3,i1f3
3045,6+f18v1b3*,v1,b3,v1b3
3046,4+s37i3l1p1*,l1,p1,l1p1
3047,6+f27j1b2v3*,b2,v3,b2v3
3048,6+f3z3b1*,z3,b1,z3b1
3049,5+r27i1f1v3*,f1,v3,f1v3
3050,6+s2v3b3z1*,b3,z1,b3z1
3051,6+s2z3m3o3*,m3,o3,m3o3
3052,6+f28h3b3*,h3,b3,h3b3
3053,6+s3z3b3*,z3,b3,z3b3
3054,6+f2v1f3z3*,f3,z3,f3z3
3055,6+s3z3b3z^1*,z3,b3,z3b3
3056,6+s2z2b1*,z2,b1,z2b1
3057,6+s1v3b3z^1*,v3,b3,v3b3
3058,6+f37i2f3*,i2,f3,i2f3
3059,5+b18v3b1*,v3,b1,v3b1
3060,5+s28v3s1v2*,s1,v2,s1v2
3061,c4+b27z1f2v3*,f2,v3,f2v3
3062,4+b27v1f1*,v1,f1,v1f1
3063,4+s27z1f3*,z1,f3,z1f3
3064,5+b27z3m2o2*,m2,o2,m2o2
3065,5+f17v3b1*,v3,b1,v3b1
3066,6+f37z3b2v2*,b2,v2,b2v2
3067,4+b27v1f2z3*,f2,z3,f2z3
3068,6+f37z3m2o1*,m2,o1,m2o1
3069,4+f38z3s3z1*,s3,z1,s3z1
3070,6+f38z2f3*,z2,f3,z2f3
3071,6+b27v1f3z2*,f3,z2,f3z2
3072,6f28f2b3s1f3s+3b3z1*,b3,z1,b3z1
3073,6+f27v3b1v2*,b1,v2,b1v2
3074,6+b28v3b3*,v3,b3,v3b3
3075,6+f28v3b1*,v3,b1,v3b1
3076,6+b28v3m2o3*,m2,o3,m2o3
3077,6+b37i3b1*,i3,b1,i3b1
3078,4b37f3s3f3s3f1f1f3b3s3b3s3b3s1f1f1f3*,f1,f3,f1f3
3079,6+f27z3b3z3m3o1*,m3,o1,m3o1
3080,4+b27v1f3*,v1,f3,v1f3
3081,4+s27z3f3*,z3,f3,z3f3
3082,4+s37z1f2v3*,f2,v3,f2v3
3083,6+f28z3m2o2r2f3b3f2f+1f3*z3*,f3,z3,f3z3
3084,4+s37r1f1v1*,f1,v1,f1v1
3085,c6+b28z1f3z3*,f3,z3,f3z3
