,combined,total_occurrences,num_of_winners_or_forced_errors,percentage_of_winner,percentage_of_total_occurences_of_combination,percentage_of_overall_winner
1099,u+3m3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1098,s+1l3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1097,s1s+3,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
1096,i1r3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1095,r-1f1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1093,r-3m1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1085,s3b;3,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
1092,r-1v2,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1091,h3s2,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1090,z3r1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1089,o1s1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1088,l2f3,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
1087,z2s3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
1086,i1r-3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
981,y+;3y-3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
880,y1f2,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
979,r+1b3,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
874,j1l3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
872,s-1v2,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
871,b;3s2,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
870,r1j=+3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
869,l1o-3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
868,s3o2,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
867,l+2f1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
866,l2t1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
865,h=2f2,2,0,0.0,8.725242125468982e-05,0.0
864,y3b-1,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
863,t1v1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
862,l2v3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
861,r1z1,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
860,f3i=3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
859,z3m-3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
858,o=3b2,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
857,b+1s3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
856,v2l1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
873,z3i2,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
875,z2f+3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
896,v^1r-2,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
876,b-3z3,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
894,f+1s2,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
893,b+3l3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
892,m1f3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
891,v3k3,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
890,f+3r2,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
889,z2m+2,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
888,v3f-3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
887,h1b-1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
886,r2b+1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
885,r+1b1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
884,y1f;3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
883,s3l1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
882,o2l3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
881,r+2f1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
879,s+1v3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
878,b;2f+1,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
877,r1f2,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
855,f2h=3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
854,b+2b3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
853,i1f2,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
852,r2u-3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
831,s3f-3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
830,p3b-1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
829,r1f+1,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
828,y-1f-1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
827,m2p2,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
826,r3i2,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
825,v^1r3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
824,b+1l2,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
823,r2f-1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
822,s2f;1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
820,l2o+3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
819,f1h=1,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
818,f;+1b3,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
817,u3b-3,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
816,z;1f1,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
815,b;3b3,2,0,0.0,8.725242125468982e-05,0.0
978,y3b-3,2,1,0.5,8.725242125468982e-05,4.362621062734491e-05
832,b2s;2,2,2,1.0,8.725242125468982e-05,8.725242125468982e-05
