,rally,receiving_shot,returned_shot,combined,is_winner,is_forced_error,is_winner_or_forced_error
12172,4f28r2f+3b3v2f1z2n#,f1,z2,f1z2,0,1,1
12173,4+f27z2f3*,z2,f3,z2f3,1,0,1
12174,5f37b2b2d@,b2,b2,b2b2,0,0,0
12175,6+f28v3m1o3*,m1,o3,m1o3,1,0,1
12176,4+f17z2b1z2*,b1,z2,b1z2,1,0,1
12177,6+b27f1b1*,f1,b1,f1b1,1,0,1
12178,6+f37b2b1*,b2,b1,b2b1,1,0,1
12179,6+s27z1b3z3*,b3,z3,b3z3,1,0,1
12180,4+f17z3b3v1*,b3,v1,b3v1,1,0,1
12181,4+b27z3f3*,z3,f3,z3f3,1,0,1
12182,6f28f2b1n@,f2,b1,f2b1,0,0,0
12183,4b18f1s3b2r+1f1z3b3*,z3,b3,z3b3,1,0,1
12184,6+s27z1b3*,z1,b3,z1b3,1,0,1
12185,6f27b+1m3p3w#,m3,p3,m3p3,0,1,1
12186,6b37b2b1d@,b2,b1,b2b1,0,0,0
12187,c6+b38z2b3z2b3n@,z2,b3,z2b3,0,0,0
12188,5f28f2b2b2s+2b1z1*,b1,z1,b1z1,1,0,1
12189,6s28f+1m1o1m2o3*,m2,o3,m2o3,1,0,1
12190,6+b27z3b1*,z3,b1,z3b1,1,0,1
12191,6+f27v1f3b1n@,f3,b1,f3b1,0,0,0
12192,6+s27v3b1z2*,b1,z2,b1z2,1,0,1
12193,6+b27z1b3z3f3n#,z3,f3,z3f3,0,1,1
12194,4b28b3f2f1b2b3f2f3x@,f2,f3,f2f3,0,0,0
12195,c4+f18z3b3h1*,b3,h1,b3h1,1,0,1
12196,4+f38v2b2z3*,b2,z3,b2z3,1,0,1
12197,4b+28b2z1w@,b2,z1,b2z1,0,0,0
12198,6+f27f1b3w@,f1,b3,f1b3,0,0,0
12199,6s28f2s3b3f3b2s2f1s1f1s1f#,f1,s1,f1s1,0,1,1
12200,6+f+17z2v3*,z2,v3,z2v3,1,0,1
12201,4+b17i3s1z3w#,s1,z3,s1z3,0,1,1
12202,5+b27v3b3n#,v3,b3,v3b3,0,1,1
12203,4+b27z2b1*,z2,b1,z2b1,1,0,1
12204,6+s27v3m1w#,v3,m1,v3m1,0,1,1
12205,6+b27v2b1v3*,b1,v3,b1v3,1,0,1
12206,4+f28v1f3n#,v1,f3,v1f3,0,1,1
12207,4+f38v2b3*,v2,b3,v2b3,1,0,1
12208,4+b28v3m2o1*,m2,o1,m2o1,1,0,1
12209,6+b28v3m1o1*,m1,o1,m1o1,1,0,1
12210,4b29b1f2s3b1s3b3f3f2s2b3f3f+2b1v;3*,b1,v;3,b1v;3,1,0,1
12211,4+f28z;1f;1*,z;1,f;1,z;1f;1,1,0,1
12212,4+b27v1f1n@,v1,f1,v1f1,0,0,0
12213,6+b27z3b3v1*,b3,v1,b3v1,1,0,1
12214,6+s37f1f3*,f1,f3,f1f3,1,0,1
12215,6+b28v3b2z1*,b2,z1,b2z1,1,0,1
12216,6f27s+2b3*,s+2,b3,s+2b3,1,0,1
12217,4+b27z2b3v2n#,b3,v2,b3v2,0,1,1
12218,4+f28v3b3v2*,b3,v2,b3v2,1,0,1
12219,6+s37z3f1*,z3,f1,z3f1,1,0,1
12220,4+s27z3f1w@,z3,f1,z3f1,0,0,0
12221,6s38b3f3b2b1n@,b2,b1,b2b1,0,0,0
12222,4+f27v2m2d@,v2,m2,v2m2,0,0,0
12223,6+f27v3b3v3*,b3,v3,b3v3,1,0,1
12224,6+b27z1f3w#,z1,f3,z1f3,0,1,1
12225,4+s27i1m1w#,i1,m1,i1m1,0,1,1
12226,4+s27z2b1w@,z2,b1,z2b1,0,0,0
12227,6+f27z2m3p1s3z2m2o2s2f+2b2v2f3z1s1n#,z1,s1,z1s1,0,1,1
12228,6+b27v3b1z1f3n#,z1,f3,z1f3,0,1,1
12229,4+s27i1f3f#,i1,f3,i1f3,0,1,1
12230,4+b18v3m+3b1d#,m+3,b1,m+3b1,0,1,1
12231,6+f+;27s2z3z1*,z3,z1,z3z1,1,0,1
12232,6+b27z3f3n@,z3,f3,z3f3,0,0,0
12233,6+f27s1m3d@,s1,m3,s1m3,0,0,0
12234,6+f27i2f1*,i2,f1,i2f1,1,0,1
12235,6+s27z2b3w#,z2,b3,z2b3,0,1,1
12236,4+s28v1f3n#,v1,f3,v1f3,0,1,1
12237,c4+f37i1m3x#,i1,m3,i1m3,0,1,1
12238,4+f27v1b3z2n#,b3,z2,b3z2,0,1,1
12239,4+s28z1m3o3*,m3,o3,m3o3,1,0,1
12240,6+b28z2b1w@,z2,b1,z2b1,0,0,0
12241,6+b28v3f1v1*,f1,v1,f1v1,1,0,1
12242,6+f27f1f3*,f1,f3,f1f3,1,0,1
12243,4+b27i1s3d@,i1,s3,i1s3,0,0,0
12244,4+b28z2b2n@,z2,b2,z2b2,0,0,0
12245,4+b28v3f1x#,v3,f1,v3f1,0,1,1
12246,6+s27z1b2n#,z1,b2,z1b2,0,1,1
12247,6+f28v2b1v2n#,b1,v2,b1v2,0,1,1
12248,4+b38z3f1w@,z3,f1,z3f1,0,0,0
12249,6+f28h2b2d@,h2,b2,h2b2,0,0,0
12250,6+s27v1s+3z2v#,s+3,z2,s+3z2,0,1,1
12251,6+f28v2m2l#,v2,m2,v2m2,0,1,1
12252,4+b38z2f2n#,z2,f2,z2f2,0,1,1
12253,4+f28z2m3x#,z2,m3,z2m3,0,1,1
12254,6+b27v3f1v1*,f1,v1,f1v1,1,0,1
12255,4+f37z1b1*,z1,b1,z1b1,1,0,1
